Estado;Municipio;Parroquia;Sector
Aragua;Santos de Michelena;Las Tejerias;BELLA VISTA
Aragua;Santos de Michelena;Las Tejerias;BRISAS DE ARAGUA
Aragua;Santos de Michelena;Las Tejerias;BRISAS DE BUCARAL
Aragua;Santos de Michelena;Las Tejerias;CAÑAOTE
Aragua;Santos de Michelena;Las Tejerias;CAOBAL
Aragua;Santos de Michelena;Las Tejerias;CASCO CENTRAL
Aragua;Santos de Michelena;Las Tejerias;CIUDAD GUAYAS
Aragua;Santos de Michelena;Las Tejerias;COLINAS DE BUCARAL
Aragua;Santos de Michelena;Las Tejerias;CURIEPE
Aragua;Santos de Michelena;Las Tejerias;EL BEISBOL
Aragua;Santos de Michelena;Las Tejerias;EL LORO
Aragua;Santos de Michelena;Las Tejerias;JABILLAL
Aragua;Santos de Michelena;Las Tejerias;JERUSALEN
Aragua;Santos de Michelena;Las Tejerias;LA CONCEPCION
Aragua;Santos de Michelena;Las Tejerias;LA GRUTA
Aragua;Santos de Michelena;Las Tejerias;LAS LOMITAS
Aragua;Santos de Michelena;Las Tejerias;LOS LIMITES
Aragua;Santos de Michelena;Las Tejerias;LOS PANAMERICANOS
Aragua;Santos de Michelena;Las Tejerias;SANTO DOMINGO
Aragua;Santos de Michelena;Las Tejerias;TABACAL
Aragua;Santos de Michelena;Las Tejerias;TINAPUEY
Aragua;Santos de Michelena;Las Tejerias;TRAPICHE DEL MEDIO
Aragua;Santos de Michelena;Las Tejerias;VARIANTES DE GUAYA
Distrito Capital;Libertador;Coche;COCHE
Distrito Capital;Libertador;El Valle;EL VALLE
Distrito Capital;Libertador;La Vega;LA VEGA
Distrito Capital;Libertador;Sucre (Catia);PROPATRIA
Miranda;Carrizal;Carrizal;BAROLA
Miranda;Carrizal;Carrizal;BARRIO BOLIVAR
Miranda;Carrizal;Carrizal;BRISAS DE ORIENTE
Miranda;Carrizal;Carrizal;C.C COLISEO
Miranda;Carrizal;Carrizal;C.C DON PEDRO
Miranda;Carrizal;Carrizal;C.C LA CASCADA
Miranda;Carrizal;Carrizal;C.C TIBISAY
Miranda;Carrizal;Carrizal;CASCO CENTRAL
Miranda;Carrizal;Carrizal;CORRALITO
Miranda;Carrizal;Carrizal;FRANCISCO DE MIRANDA
Miranda;Carrizal;Carrizal;JOSE MANUEL ALVAREZ
Miranda;Carrizal;Carrizal;LLANO ALTO
Miranda;Carrizal;Carrizal;LOMAS DE URQUIA
Miranda;Carrizal;Carrizal;MONTAÑA ALTA
Miranda;Carrizal;Carrizal;POTRERO DEL MEDIO
Miranda;Carrizal;Carrizal;RES. ALTA VISTA
Miranda;Carrizal;Carrizal;RES. LOS EUCALIPTOS
Miranda;Carrizal;Carrizal;SANTA EDUVIGES
Miranda;Carrizal;Carrizal;YERBA BUENA
Miranda;Guaicaipuro;Cecilio Acosta;AGUA FRIA
Miranda;Guaicaipuro;Cecilio Acosta;CACHAPAL
Miranda;Guaicaipuro;Cecilio Acosta;CANTARRANA
Miranda;Guaicaipuro;Cecilio Acosta;CASCO CENTRAL
Miranda;Guaicaipuro;Cecilio Acosta;COCOROTE
Miranda;Guaicaipuro;Cecilio Acosta;CORTADA DEL GUAYABO
Miranda;Guaicaipuro;Cecilio Acosta;EL AGUACATAL
Miranda;Guaicaipuro;Cecilio Acosta;EL CALVARIO
Miranda;Guaicaipuro;Cecilio Acosta;EL GUAMAL
Miranda;Guaicaipuro;Cecilio Acosta;EL INGENIO
Miranda;Guaicaipuro;Cecilio Acosta;EL LIMON
Miranda;Guaicaipuro;Cecilio Acosta;EL NARANJAL
Miranda;Guaicaipuro;Cecilio Acosta;EL PEÑON
Miranda;Guaicaipuro;Cecilio Acosta;EL PRADO
Miranda;Guaicaipuro;Cecilio Acosta;GUAICOCO
Miranda;Guaicaipuro;Cecilio Acosta;GUAREGUARE
Miranda;Guaicaipuro;Cecilio Acosta;LA CRUCESITA
Miranda;Guaicaipuro;Cecilio Acosta;LA CULEBRILLA
Miranda;Guaicaipuro;Cecilio Acosta;LA OCI
Miranda;Guaicaipuro;Cecilio Acosta;LOS AMISTOSOS
Miranda;Guaicaipuro;Cecilio Acosta;LOS COLORADOS
